id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Lattitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
6762828349,42734,4,2.75,1810,7350,1,0,0,4,7,1200,610,1980,0,122065,52.6003,-114.361,1750,7350,1,73,272000
6762828783,42734,3,1.75,1350,7686,1,0,0,3,7,1350,0,1987,0,122024,52.5917,-114.242,1370,7686,2,70,261000
6762828856,42734,3,1,1180,5350,1.5,0,0,4,6,1180,0,1959,0,122063,52.735,-114.449,1490,5350,3,54,260000
6762829600,42734,3,1,1400,10425,1,0,0,4,7,1400,0,1968,0,122040,52.5038,-114.491,1440,10425,2,59,241500
6762829669,42734,3,1.75,1590,7931,1,0,0,3,7,1190,400,1979,0,122024,52.5928,-114.24,1680,7931,1,80,240000
6762830250,42734,2,1.5,1556,20000,1,0,0,4,7,1556,0,1957,0,122066,52.6191,-114.472,2250,17286,3,76,221700
6762830339,42734,3,2,1680,7000,1.5,0,0,4,7,1680,0,1968,0,122072,52.5075,-114.393,1540,7480,3,59,219200
6762830618,42734,2,1,1070,6120,1,0,0,3,6,1070,0,1962,0,122056,52.7289,-114.507,1130,6120,2,64,209000
6762830709,42734,4,1,1030,6621,1,0,0,4,6,1030,0,1955,0,122042,52.7157,-114.411,1420,6631,3,54,205000
6762831463,42734,3,1,900,4770,1,0,0,3,6,900,0,1969,2009,122018,52.5338,-114.552,900,3480,2,55,146000
